id,signal,execs,time_ms,size,sha256,exit_code,asan_type,classification,top_frame,top_symbol,locations,filename
000000,06,3203,1112,8,56f50a35461218ffd5629dcbf0ab647a0cbb2976479e07775bc01a02d3629897,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000000,sig:06,src:000000,time:1112,execs:3203,op:havoc,rep:2"
000001,06,4526,1573,11,25e78af16ae298b9c69b1691f39e6207631b5e33da0f7fc890a3c67f478cb45a,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000001,sig:06,src:000000,time:1573,execs:4526,op:havoc,rep:6"
000002,06,5662,1970,2,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000002,sig:06,src:000000,time:1970,execs:5662,op:havoc,rep:4"
000003,11,7792,2709,10,b8f57e5cb315842f2fde62ba578def36eb0914760e3c9d29c9e63684776ceb35,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000003,sig:11,src:000000,time:2709,execs:7792,op:havoc,rep:1"
000004,06,13907,4854,8,e66d1ffce0178c1929647d893e9a1aee5d14335fb8aa664048905ded2e6387e2,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000004,sig:06,src:000000,time:4854,execs:13907,op:havoc,rep:3"
000005,11,14018,4893,14,2ca1f24596b8cfcc9c92419ac745604947462c81332482b75a328706dead7db7,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000005,sig:11,src:000000,time:4893,execs:14018,op:havoc,rep:4"
000006,06,14410,5034,6,2f13925ee90041ac363a01bdc22d77c1aadb7a395f4d9a99b0033fd4ad3d8d2d,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000006,sig:06,src:000000,time:5034,execs:14410,op:havoc,rep:7"
000007,11,19405,6827,8,19dcf6e2b4af66769af78d6fc00e287dff8d737f25384d8f845dff643c88aa58,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000007,sig:11,src:000000,time:6827,execs:19405,op:havoc,rep:3"
000008,11,25564,9173,12,75a3e7ac4e89015d82f2d4800c22a244dd4665ad5d9f1034da94870f3af59cd9,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000008,sig:11,src:000000,time:9173,execs:25564,op:havoc,rep:5"
000009,11,33449,12120,8,b792d345ef2ce8249df593a05ba77896755d633f16bc176ed7d8a2679734a9d3,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000009,sig:11,src:000000,time:12120,execs:33449,op:havoc,rep:2"
